package_code,boq_section,item_name,item_display_name,unit,quantity,confidence,manual_review,source_evidence,notes
50114,D - Openings,Door Hinge (pair),Door | Hinge (pair),nr,12.0,MEDIUM,,dxf_blocks: DOOR_82 count=4,opening_mark=DOOR_82  3 pairs per door (standard)
50114,D - Openings,Door Lockset,Door | Lockset,nr,4.0,HIGH,,dxf_blocks: DOOR_82 count=4,opening_mark=DOOR_82
50114,D - Openings,Door Stop,Door | Stop,nr,4.0,HIGH,,dxf_blocks: DOOR_82 count=4,opening_mark=DOOR_82
50114,D - Openings,Door Leaf,Door | Leaf,nr,1.0,HIGH,,dxf_blocks: DOOR_72 count=1,opening_mark=DOOR_72
50114,D - Openings,Door Frame Set,Door | Frame Set,nr,1.0,HIGH,,dxf_blocks: DOOR_72 count=1,opening_mark=DOOR_72
50114,D - Openings,Door Hinge (pair),Door | Hinge (pair),nr,3.0,MEDIUM,,dxf_blocks: DOOR_72 count=1,opening_mark=DOOR_72  3 pairs per door (standard)
50114,D - Openings,Door Lockset,Door | Lockset,nr,1.0,HIGH,,dxf_blocks: DOOR_72 count=1,opening_mark=DOOR_72
50114,D - Openings,Door Stop,Door | Stop,nr,1.0,HIGH,,dxf_blocks: DOOR_72 count=1,opening_mark=DOOR_72
50114,D - Openings,Window — WINDOW_LOUVRE_1100,"Window | Louvre, 1100mm Wide",nr,8,MEDIUM,,dxf_blocks: mark=WINDOW_LOUVRE_1100 count=8,type=louvre
50114,D - Openings,Window — WINDOW_LOUVRE_800,"Window | Louvre, 800mm Wide",nr,2,MEDIUM,,dxf_blocks: mark=WINDOW_LOUVRE_800 count=2,type=louvre
50114,D - Openings,Window — WINDOW_LOUVRE_1800,"Window | Louvre, 1800mm Wide",nr,1,MEDIUM,,dxf_blocks: mark=WINDOW_LOUVRE_1800 count=1,type=louvre
50114,D - Openings,Window Head Flashing — WINDOW_LOUVRE_1100,"Flashing | Window Head, Galvanised",lm,9.44,MEDIUM,,dxf_blocks: block_name: WINDOW_LOUVRE_1100 count=8,Head flashing extends 50 mm beyond frame each side.
50114,D - Openings,Window Sill Flashing — WINDOW_LOUVRE_1100,"Flashing | Window Sill, Galvanised",lm,9.44,MEDIUM,,dxf_blocks: block_name: WINDOW_LOUVRE_1100 count=8,Sill flashing same lm as head flashing. Remove if window sits on masonry sill.
50114,D - Openings,Louvre Blade — WINDOW_LOUVRE_1100,"Window | Louvre Blade, 1100mm Wide",nr,64,LOW,YES,dxf_blocks: config_default=750mm count=8,MANUAL REVIEW REQUIRED. Frame height 750 mm (config_default=750mm). 8 blades per
50114,D - Openings,Window Head Flashing — WINDOW_LOUVRE_800,"Flashing | Window Head, Galvanised",lm,1.8,MEDIUM,,dxf_blocks: block_name: WINDOW_LOUVRE_800 count=2,Head flashing extends 50 mm beyond frame each side.
50114,D - Openings,Window Sill Flashing — WINDOW_LOUVRE_800,"Flashing | Window Sill, Galvanised",lm,1.8,MEDIUM,,dxf_blocks: block_name: WINDOW_LOUVRE_800 count=2,Sill flashing same lm as head flashing. Remove if window sits on masonry sill.
50114,D - Openings,Louvre Blade — WINDOW_LOUVRE_800,"Window | Louvre Blade, 800mm Wide",nr,16,LOW,YES,dxf_blocks: config_default=750mm count=2,MANUAL REVIEW REQUIRED. Frame height 750 mm (config_default=750mm). 8 blades per
50114,D - Openings,Window Head Flashing — WINDOW_LOUVRE_1800,"Flashing | Window Head, Galvanised",lm,1.95,MEDIUM,,dxf_blocks: block_name: WINDOW_LOUVRE_1800 count=1,Head flashing extends 50 mm beyond frame each side.
50114,D - Openings,Window Sill Flashing — WINDOW_LOUVRE_1800,"Flashing | Window Sill, Galvanised",lm,1.95,MEDIUM,,dxf_blocks: block_name: WINDOW_LOUVRE_1800 count=1,Sill flashing same lm as head flashing. Remove if window sits on masonry sill.
50114,D - Openings,Louvre Blade — WINDOW_LOUVRE_1800,"Window | Louvre Blade, 1800mm Wide",nr,8,LOW,YES,dxf_blocks: config_default=750mm count=1,MANUAL REVIEW REQUIRED. Frame height 750 mm (config_default=750mm). 8 blades per
50114,D - Openings,Louvre Window Frame,Window | Louvre Frame,nr,8.0,MEDIUM,,dxf_blocks: WINDOW_LOUVRE_1100 count=8,opening_mark=WINDOW_LOUVRE_1100
50114,D - Openings,Louvre Blade Set,Window | Louvre Blade,nr,8.0,MEDIUM,,dxf_blocks: WINDOW_LOUVRE_1100 count=8,opening_mark=WINDOW_LOUVRE_1100
50114,D - Openings,Flyscreen,Window | Fly Screen,nr,8.0,MEDIUM,,dxf_blocks: WINDOW_LOUVRE_1100 count=8,opening_mark=WINDOW_LOUVRE_1100
50114,D - Openings,Louvre Window Frame,Window | Louvre Frame,nr,2.0,MEDIUM,,dxf_blocks: WINDOW_LOUVRE_800 count=2,opening_mark=WINDOW_LOUVRE_800
50114,D - Openings,Louvre Blade Set,Window | Louvre Blade,nr,2.0,MEDIUM,,dxf_blocks: WINDOW_LOUVRE_800 count=2,opening_mark=WINDOW_LOUVRE_800
50114,D - Openings,Flyscreen,Window | Fly Screen,nr,2.0,MEDIUM,,dxf_blocks: WINDOW_LOUVRE_800 count=2,opening_mark=WINDOW_LOUVRE_800
50114,D - Openings,Louvre Window Frame,Window | Louvre Frame,nr,1.0,MEDIUM,,dxf_blocks: WINDOW_LOUVRE_1800 count=1,opening_mark=WINDOW_LOUVRE_1800
50114,D - Openings,Louvre Blade Set,Window | Louvre Blade,nr,1.0,MEDIUM,,dxf_blocks: WINDOW_LOUVRE_1800 count=1,opening_mark=WINDOW_LOUVRE_1800
50114,D - Openings,Flyscreen,Window | Fly Screen,nr,1.0,MEDIUM,,dxf_blocks: WINDOW_LOUVRE_1800 count=1,opening_mark=WINDOW_LOUVRE_1800
50114,D - Openings,Fly Screen — WINDOW_LOUVRE_1100,"Window | Fly Screen, 1100mm Wide",m2,6.48,LOW,YES,dxf_blocks: mark=WINDOW_LOUVRE_1100 w=1.08m (block_name) h=0.750m (config_default=750mm) qty=8,MANUAL REVIEW REQUIRED. Fly screen for louvre window WINDOW_LOUVRE_1100 (8 nr). 
50114,D - Openings,Fly Screen — WINDOW_LOUVRE_800,"Window | Fly Screen, 800mm Wide",m2,1.2,LOW,YES,dxf_blocks: mark=WINDOW_LOUVRE_800 w=0.80m (block_name) h=0.750m (config_default=750mm) qty=2,MANUAL REVIEW REQUIRED. Fly screen for louvre window WINDOW_LOUVRE_800 (2 nr). A
50114,D - Openings,Fly Screen — WINDOW_LOUVRE_1800,"Window | Fly Screen, 1800mm Wide",m2,1.39,LOW,YES,dxf_blocks: mark=WINDOW_LOUVRE_1800 w=1.85m (block_name) h=0.750m (config_default=750mm) qty=1,MANUAL REVIEW REQUIRED. Fly screen for louvre window WINDOW_LOUVRE_1800 (1 nr). 
50114,D - Openings,Door Closer — Hydraulic (main entrance),"Door | Closer, Hydraulic",nr,1,MEDIUM,YES,dxf_blocks: DOOR_90 (width≥850mm or DOOR_90),MANUAL REVIEW REQUIRED. Door closer inferred for pharmacy entrance doors. Marks:
50114,F - Finishes,Architrave — Door,Timber Architrave | 12 x 75 x 2400mm Timber,lm,36.0,MEDIUM,,derived from door_count=6,
50114,F - Finishes,Architrave — Window,Timber Architrave | 12 x 75 x 2400mm Timber,lm,52.8,MEDIUM,,derived from window_count=11,
50115,E - Linings & Ceilings,"External Wall Lining — FC Sheet (6mm, 1200×2700)","External Lining | FC Sheet, 1200 x 2400mm",sheets,30,HIGH,,dxf_geometry: ext_wall_lm=38.40 m × h=2.4 m → area=92.16 m²,
50115,E - Linings & Ceilings,External Wall Lining — FC Sheet Screws,Fixing | FC Sheet Screw (External),boxes,12,LOW,,derived from ext_wall_area=92.16 m²,
50115,E - Linings & Ceilings,"Internal Wall Lining — FC Sheet (6mm, 1200×2700)","Internal Lining | FC Sheet, 1200 x 2400mm",sheets,46,HIGH,,dxf_geometry: int_wall_lm=29.40 m × h=2.4 m × 2 faces = 141.12 m²,Measured from DXF WALLS layer: 8 internal wall runs.
50115,E - Linings & Ceilings,Internal Wall Lining — FC Sheet Screws,Fixing | FC Sheet Screw (Internal),boxes,18,LOW,,derived from int_wall_area_both=141.12 m²,Measured from DXF WALLS layer: 8 internal wall runs.
50115,E - Linings & Ceilings,Internal Wall Lining — FC Sheet Joiner Strip,Internal Lining Accessory | PVC H Joiner,lm,117.6,LOW,,dxf_geometry: int_wall_lm=29.40 m × 2 faces = 58.8 lm,1 vertical joiner strip per 1.2 m sheet-width run × 2.4 m height.
50115,E - Linings & Ceilings,Wet Area Wall Lining — Waterproof Board / FC,"Internal Lining | Waterproof Board / FC, Wet Area",sheets,7,LOW,YES,rooms=['Toilet']: total_wet_wall_area≈20.40 m²,MANUAL REVIEW REQUIRED. Wet area lining derived from room perimeter estimate. Ve
50115,E - Linings & Ceilings,"Ceiling Lining — FC Sheet (6mm, 1200×2400)","Ceiling Lining | FC Sheet, 1200 x 2400mm",sheets,24,MEDIUM,,derived: ceiling_area=64.80 m²,
50115,E - Linings & Ceilings,Ceiling Batten (LGS / timber),Ceiling Batten | G22,lm,162.0,MEDIUM,,derived: ceiling_area=64.80 m²,
50115,E - Linings & Ceilings,Ceiling FC Sheet Screws,Fixing | FC Sheet Screw (Ceiling),boxes,7,LOW,,derived from ceiling_area=64.80 m²,
50115,E - Linings & Ceilings,"Verandah Soffit Lining — FC Sheet (6mm, 1200×2400)","Verandah Soffit Lining — FC Sheet (6mm, 1200×2400)",sheets,8,HIGH,,dxf_geometry: verandah_area=21.60 m² (soffit = verandah deck area),Verandah soffit lining: 21.60 m² from DXF verandah polygon. Soffit area treated 
50115,E - Linings & Ceilings,Verandah Soffit Batten (LGS / timber),Verandah Soffit Batten (LGS / timber),lm,54.0,MEDIUM,,dxf_geometry: verandah_soffit_area=21.60 m²,Verandah soffit batten: 21.60 m² at 400 mm spacing = 54.0 lm.
50115,E - Linings & Ceilings,Cornice / Ceiling Trim,Timber Cornice | 25 x 25 x 2400mm Timber,lm,38.4,MEDIUM,,dxf_geometry: ext_wall_perimeter=38.40 m,Assumes cornice on external walls only. Add int_wall_lm if cornice on internal w
50117,I - Services,Hand Basin (dispensary),Hydraulics | Hand Basin,nr,1,LOW,YES,room_schedule: Dispensary (type=pharmacy),MANUAL REVIEW REQUIRED. Inferred from room type 'pharmacy'.
50117,I - Services,Tapware (basin),Hydraulics | Tapware,set,1,LOW,YES,room_schedule: Dispensary (type=pharmacy),MANUAL REVIEW REQUIRED. Inferred from room type 'pharmacy'.
50117,I - Services,Cold Room / Refrigeration Allowance,Services | Cold Room / Refrigeration (PLACEHOLDER),item,1,LOW,YES,room_schedule: Dispensary (type=pharmacy),MANUAL REVIEW REQUIRED. Inferred from room type 'pharmacy'.
50117,I - Services,Builder's Works — Electrical (pharmacy),"Services | Builder's Works, Electrical",item,1,LOW,YES,room_schedule: Dispensary (type=pharmacy),MANUAL REVIEW REQUIRED. Inferred from room type 'pharmacy'.
50117,I - Services,Builder's Works — Services (unclassified room),"Services | Builder's Works, Services",item,1,LOW,YES,room_schedule: Waiting / Reception (type=waiting),MANUAL REVIEW REQUIRED. Inferred from room type 'waiting'.
50117,I - Services,Hand Basin (consulting room),Hydraulics | Hand Basin,nr,1,LOW,YES,room_schedule: Consultation Room (type=consulting),MANUAL REVIEW REQUIRED. Inferred from room type 'consulting'.
50117,I - Services,Tapware (basin),Hydraulics | Tapware,set,1,LOW,YES,room_schedule: Consultation Room (type=consulting),MANUAL REVIEW REQUIRED. Inferred from room type 'consulting'.
50117,I - Services,Builder's Works — Plumbing (consulting),Hydraulics | Builder's Works (Plumbing),item,1,LOW,YES,room_schedule: Consultation Room (type=consulting),MANUAL REVIEW REQUIRED. Inferred from room type 'consulting'.
50117,I - Services,Builder's Works — Electrical (office),"Services | Builder's Works, Electrical",item,1,LOW,YES,room_schedule: Staff Room (type=office),MANUAL REVIEW REQUIRED. Inferred from room type 'office'.
50117,I - Services,WC Pan (close-coupled),Hydraulics | WC Pan (close-coupled),nr,1,MEDIUM,YES,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
50117,I - Services,WC Cistern,Hydraulics | WC Cistern,nr,1,MEDIUM,YES,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
50117,I - Services,Hand Basin,Hydraulics | Hand Basin,nr,1,MEDIUM,YES,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
50117,I - Services,Tapware (basin),Hydraulics | Tapware,set,1,MEDIUM,YES,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
50117,I - Services,Mirror / Medicine Cabinet,FFE | Mirror,nr,1,LOW,YES,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
50117,I - Services,Toilet Roll Holder,FFE | Toilet Roll Holder,nr,1,LOW,YES,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
50117,I - Services,Hand Towel Rail / Dryer,FFE | Towel Rail,nr,1,LOW,YES,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
50117,I - Services,Floor Waste,Hydraulics | Floor Waste,nr,1,MEDIUM,YES,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
50117,I - Services,Builder's Works — Plumbing (toilet),Hydraulics | Builder's Works (Plumbing),item,1,MEDIUM,YES,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
50117,I - Services,Wet Area Wall Tiling — Toilet,Hydraulics | WC Pan,m2,15.3,LOW,YES,"room: Toilet (area=4.50 m², wet_area=True)",MANUAL REVIEW REQUIRED. Inferred: perimeter (8.5 m) × 1800 mm splash-zone height
50117,I - Services,Wet Area Waterproofing — Membrane,Hydraulics | Wet Area Waterproofing Membrane,m2,5.78,MEDIUM,YES,room: Toilet (area=4.50 m²),MANUAL REVIEW REQUIRED. Waterproofing: floor area + 150 mm upstand on walls for 
50117,I - Services,Builder's Works — Services (unclassified room),"Services | Builder's Works, Services",item,1,LOW,YES,room_schedule: Storage (type=store),MANUAL REVIEW REQUIRED. Inferred from room type 'store'.
50117,I - Services,Air Conditioning / Mechanical Ventilation — PLACEHOLDER,Services | Air Conditioning / Mechanical (PLACEHOLDER),item,0,LOW,YES,building_type=pharmacy: commercial building requires mechanical services,MANUAL REVIEW REQUIRED. PLACEHOLDER. Commercial building in tropical climate lik
50117,I - Services,Exhaust Fan — Wet Area (toilet / laundry),Electrical | Exhaust Fan,item,0,LOW,YES,building_type=pharmacy: wet area ventilation required by BCA F4.6,MANUAL REVIEW REQUIRED. PLACEHOLDER. BCA F4.6 requires mechanical exhaust in roo
50117,I - Services,Main Electrical Switchboard / Distribution Board,Electrical | Main Switchboard / Distribution Board,item,1,LOW,YES,floor_area=86.40 m² (building-wide),MANUAL REVIEW REQUIRED. 1 per building; adjust for sub-boards
50117,I - Services,Main Water Meter / Stopcock,Hydraulics | Main Water Meter / Stopcock,item,1,LOW,YES,floor_area=86.40 m² (building-wide),MANUAL REVIEW REQUIRED. Whole-building service allowance.
50117,I - Services,Hot Water System (central),Hydraulics | Hot Water System,item,1,LOW,YES,floor_area=86.40 m² (building-wide),MANUAL REVIEW REQUIRED. only if not allocated to individual rooms
50117,I - Services,Smoke Detectors (provisional),Electrical | Smoke Detector,nr,3,LOW,YES,floor_area=86.40 m² (building-wide),MANUAL REVIEW REQUIRED. 1 per 40 m² floor area (indicative)
50118,C - Insulation,Insulation Batts — Roof / Ceiling,"Insulation | Glasswool Batts, Roof / Ceiling",m2,106.6,HIGH,,dxf_geometry: roof_area=106.60 m²,
50118,C - Insulation,Insulation Batts — External Wall,"Insulation | Glasswool Batts, External Wall",m2,92.16,MEDIUM,,dxf_geometry: ext_wall_lm=38.40 × h=2.4,Gross wall area; deduct large openings if required.
50124,J - Stairs,Stair Stringer (Prefabricated Set) — 3 RISER,Stair | Stringer,nr,1,LOW,YES,project_config: STR-1,MANUAL REVIEW REQUIRED. Entry stair — riser count estimated from raised floor he
50124,J - Stairs,Stair Tread,Stair | Tread,nr,3,LOW,YES,project_config: risers_per_flight=3,MANUAL REVIEW REQUIRED.
50124,J - Stairs,Stair Newel Post,Stair | Component,nr,2,MEDIUM,,project_config: STR-1,1 newel post at top and bottom of each flight.
50124,J - Stairs,Stair Balustrade — Top Rail,Balustrade | Assembly,lm,0.75,LOW,YES,project_config: STR-1,MANUAL REVIEW REQUIRED. Verify length from architectural drawings.
50124,J - Stairs,Stair Balustrade Post,Balustrade | Post,nr,1,LOW,YES,project_config: balustrade_lm=0.75 m,MANUAL REVIEW REQUIRED. 1 post per 1.2 m spacing. Verify from balustrade schedul
50124,J - Stairs,Stair Balustrade Infill (glass / mesh / picket),Balustrade | Assembly,m2,0.75,LOW,YES,project_config: balustrade_lm=0.75 m,MANUAL REVIEW REQUIRED. Infill height assumed 1.0 m. Adjust for guard height req
50124,J - Stairs,Stair Handrail,Balustrade | Handrail,lm,0.75,LOW,YES,project_config: STR-1,MANUAL REVIEW REQUIRED. Verify handrail length. Continuous rail both sides of fl
50124,J - Stairs,Access Ramp — Surface (concrete / non-slip),"Access Ramp | Surface, Concrete / Non-slip",m2,8.82,LOW,YES,derived from project_config: stair: 3 risers × 175 mm = 525 mm,"MANUAL REVIEW REQUIRED. Access ramp: 1:14 gradient, stair: 3 risers × 175 mm = 5"
50124,J - Stairs,Access Ramp — Handrail (both sides),Access Ramp | (type by design),lm,14.7,LOW,YES,derived from ramp run: 7.35 m (stair: 3 risers × 175 mm = 525 mm),MANUAL REVIEW REQUIRED. Continuous handrails both sides of ramp. Verify height a
50124,J - Stairs,Access Ramp — Edge Kerb / Guard,Access Ramp | Edge Kerb / Guard,lm,14.7,LOW,YES,derived from ramp run: 7.35 m (stair: 3 risers × 175 mm = 525 mm),MANUAL REVIEW REQUIRED. Kerb guard (min 75 mm high) both sides. Verify from arch
50124,K - External Works,Verandah Balustrade,Balustrade | Assembly,lm,20.4,HIGH,,dxf_geometry: verandah_perimeter=20.40 m,
50124,K - External Works,Verandah Handrail,Balustrade | Handrail,lm,20.4,MEDIUM,,dxf_geometry: verandah_perimeter=20.40 m,Reduce if one side abuts building wall.
50124,K - External Works,Balustrade Post,Balustrade | Post,nr,17,LOW,,derived from verandah_perimeter=20.40 m,
